 INFO  Accepting connections at http://localhost:3000
 HTTP  1/9/2026 7:00:11 PM ::1 GET /
 HTTP  1/9/2026 7:00:11 PM ::1 Returned 200 in 22 ms
 HTTP  1/9/2026 7:00:11 PM ::1 GET /_astro/ClientRouter.astro_astro_type_script_index_0_lang.QW52Ox2j.js
 HTTP  1/9/2026 7:00:11 PM ::1 GET /_astro/index.CPgs3nfP.css
 HTTP  1/9/2026 7:00:11 PM ::1 GET /_astro/_slug_.Begk9pA9.css
 HTTP  1/9/2026 7:00:11 PM ::1 GET /_astro/index.B6Zxr6qv.css
 HTTP  1/9/2026 7:00:11 PM ::1 GET /images/dna-face-400.webp
 HTTP  1/9/2026 7:00:11 PM ::1 GET /images/Transparent%20Logo.svg
 HTTP  1/9/2026 7:00:11 PM ::1 Returned 200 in 8 ms
 HTTP  1/9/2026 7:00:11 PM ::1 Returned 200 in 8 ms
 HTTP  1/9/2026 7:00:11 PM ::1 Returned 200 in 8 ms
 HTTP  1/9/2026 7:00:11 PM ::1 Returned 200 in 9 ms
 HTTP  1/9/2026 7:00:11 PM ::1 Returned 200 in 9 ms
 HTTP  1/9/2026 7:00:11 PM ::1 Returned 200 in 9 ms
 HTTP  1/9/2026 7:00:11 PM ::1 GET /images/Transparent-Logo-tmave.png
 HTTP  1/9/2026 7:00:11 PM ::1 Returned 200 in 3 ms
 HTTP  1/9/2026 7:00:11 PM ::1 GET /images/tatka-pise.webp
 HTTP  1/9/2026 7:00:11 PM ::1 GET /images/drevena-splet-400.webp
 HTTP  1/9/2026 7:00:11 PM ::1 GET /images/tatka_knihovna.webp
 HTTP  1/9/2026 7:00:11 PM ::1 Returned 200 in 5 ms
 HTTP  1/9/2026 7:00:11 PM ::1 Returned 200 in 4 ms
 HTTP  1/9/2026 7:00:11 PM ::1 Returned 200 in 3 ms
 HTTP  1/9/2026 7:00:12 PM ::1 GET /images/IT-podpora-400.webp
 HTTP  1/9/2026 7:00:12 PM ::1 GET /images/expatriace-400.webp
 HTTP  1/9/2026 7:00:12 PM ::1 Returned 200 in 3 ms
 HTTP  1/9/2026 7:00:12 PM ::1 GET /images/nemovitost-playa-400.webp
 HTTP  1/9/2026 7:00:12 PM ::1 GET /images/preklady-400.webp
 HTTP  1/9/2026 7:00:12 PM ::1 Returned 200 in 3 ms
 HTTP  1/9/2026 7:00:12 PM ::1 GET /images/lod-kontajner-400.webp
 HTTP  1/9/2026 7:00:12 PM ::1 Returned 200 in 4 ms
 HTTP  1/9/2026 7:00:12 PM ::1 Returned 200 in 3 ms
 HTTP  1/9/2026 7:00:12 PM ::1 Returned 200 in 2 ms
 HTTP  1/9/2026 7:00:12 PM ::1 GET /images/online-kurz-400.webp
 HTTP  1/9/2026 7:00:12 PM ::1 Returned 200 in 1 ms
