npm warn exec The following package was not found and will be installed: serve@14.2.5
 INFO  Accepting connections at http://localhost:4321
 HTTP  1/10/2026 6:05:51 PM ::1 GET /
 HTTP  1/10/2026 6:05:51 PM ::1 Returned 200 in 19 ms
 HTTP  1/10/2026 6:05:51 PM ::1 GET /_astro/ClientRouter.astro_astro_type_script_index_0_lang.CDGfc0hd.js
 HTTP  1/10/2026 6:05:51 PM ::1 Returned 200 in 5 ms
 HTTP  1/10/2026 6:05:51 PM ::1 GET /_astro/index.CPgs3nfP.css
 HTTP  1/10/2026 6:05:51 PM ::1 GET /_astro/_slug_.CpVwQdEg.css
 HTTP  1/10/2026 6:05:51 PM ::1 GET /_astro/index.BwwNrAnP.css
 HTTP  1/10/2026 6:05:51 PM ::1 GET /images/dna-face-400.webp
 HTTP  1/10/2026 6:05:51 PM ::1 GET /images/Transparent%20Logo.svg
 HTTP  1/10/2026 6:05:51 PM ::1 GET /images/Transparent-Logo-tmave.png
 HTTP  1/10/2026 6:05:51 PM ::1 Returned 200 in 11 ms
 HTTP  1/10/2026 6:05:51 PM ::1 Returned 200 in 10 ms
 HTTP  1/10/2026 6:05:51 PM ::1 Returned 200 in 11 ms
 HTTP  1/10/2026 6:05:51 PM ::1 Returned 200 in 10 ms
 HTTP  1/10/2026 6:05:51 PM ::1 Returned 200 in 11 ms
 HTTP  1/10/2026 6:05:51 PM ::1 Returned 200 in 10 ms
 HTTP  1/10/2026 6:05:51 PM ::1 GET /images/tatka-pise.webp
 HTTP  1/10/2026 6:05:51 PM ::1 GET /images/drevena-splet-400.webp
 HTTP  1/10/2026 6:05:51 PM ::1 GET /images/tatka_knihovna.webp
 HTTP  1/10/2026 6:05:51 PM ::1 Returned 200 in 7 ms
 HTTP  1/10/2026 6:05:51 PM ::1 Returned 200 in 5 ms
 HTTP  1/10/2026 6:05:51 PM ::1 Returned 200 in 5 ms
 HTTP  1/10/2026 6:05:51 PM ::1 GET /images/IT-podpora-400.webp
 HTTP  1/10/2026 6:05:51 PM ::1 GET /images/expatriace-400.webp
 HTTP  1/10/2026 6:05:51 PM ::1 GET /images/nemovitost-playa-400.webp
 HTTP  1/10/2026 6:05:51 PM ::1 Returned 200 in 5 ms
 HTTP  1/10/2026 6:05:51 PM ::1 GET /images/preklady-400.webp
 HTTP  1/10/2026 6:05:51 PM ::1 GET /images/lod-kontajner-400.webp
 HTTP  1/10/2026 6:05:51 PM ::1 Returned 200 in 12 ms
 HTTP  1/10/2026 6:05:51 PM ::1 Returned 200 in 11 ms
 HTTP  1/10/2026 6:05:51 PM ::1 Returned 200 in 7 ms
 HTTP  1/10/2026 6:05:51 PM ::1 Returned 200 in 8 ms
